label,country,state,county,Event Start Date,Site.Ownership,Site.Access,Site.Classification,Site.Use,Survey.Class,Survey.Season,ANPA,CORA,COTO,COTOi,COTOp,COTOv,EPFU,LABO,LANO,MYAU,MYCA,MYCI,MYEV,MYGR,MYLU,MYSE,MYSO,MYSP,MYVE,PESU,TABR,UNKN,Total.Live,Total.Dead,Total.Bat.Count,vulnerable_c,vulnerable_p,Total.Species,h.density50,type,Event Type,Public,Number Affected,Event End Date,Species,release_date,status_season
Neg,USA,WI,Pierce,3/9/15,redacted,Open-seasonal/restricted,Cave-show,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,,0,0,0,18.34515953,cave,,,,,,,
Neg,USA,WI,Pierce,2/10/16,redacted,Gated-all year,Mine-active,Hibernaculum,Active,2015-16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20000,0,0,0,0,100,0,0,20120,0,20120,20100,2,3,15.26772594,mine,,,,,,,
Neg,USA,WI,La Crosse,2/15/16,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2015-16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,23.20701981,cave,,,,,,,
Pd not detected,USA,WI,IRON,2/5/14,redacted,Open-all year,Mine-inactive,Hibernaculum,Active,2013-14,0,0,0,0,0,0,42,0,0,0,0,0,0,0,3689,22,0,0,0,0,0,0,3753,0,3753,3711,2,3,3.096750498,mine,,,,,,,
Pd not detected,USA,WI,RICHLAND,2/7/14,redacted,Open-all year,Cave-recreational,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,6,0,0,0,43,0,0,113,0,113,113,3,3,7.805403709,cave,,,,,,,
Pd not detected,USA,WI,GRANT,2/10/14,redacted,Gated-all year,Mine-inactive,Hibernaculum,Active,2013-14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,328,0,0,0,0,39,0,0,368,1,369,367,2,3,18.85751152,mine,,,,,,,
Pd not detected,USA,WI,CRAWFORD,2/17/14,redacted,Open-seasonal/restricted,Cave-show,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,9,0,3,0,46,0,0,228,0,228,225,3,4,6.509997368,cave,,,,,,,
Pd not detected,USA,WI,IOWA,2/18/14,redacted,Gated-all year,Cave-show (inactive),Hibernaculum,Active,2013-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,0,0,0,27,0,0,42,0,42,41,3,4,32.75514984,cave,,,,,,,
Pd not detected,USA,WI,IOWA,2/19/14,redacted,Open-all year,Mine-inactive,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,11,0,43,0,0,89,0,89,78,3,4,9.183097839,mine,,,,,,,
Pd not detected,USA,WI,IOWA,2/19/14,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,29,0,29,29,2,2,8.273838997,cave,,,,,,,
Pd not detected,USA,WI,MONROE,2/25/14,redacted,Gated-breech,Tunnel/culvert,Hibernaculum,Active,2013-14,0,0,0,0,0,0,260,0,0,0,0,0,0,0,64,1,0,29,0,1,0,0,355,0,355,66,3,5,8.765414238,manmade,,,,,,,
Pd not detected,USA,WI,CRAWFORD,2/28/14,redacted,Gated-all year,Cave-undeveloped,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0,15,0,28,0,0,77,0,77,62,3,4,6.676739216,cave,,,,,,,
